countryName,neighborImmigrant,childrenHardWork,childrenFaith,neighborReligion,HomosexJustify,EnvImp,fightCountry,trust,SuicideJus,religiousPerson,NationProud,universityManImp,divorceJus,BetterLeader,childrenImagination,neighborRace,childrenThrift
Albania,10.2,56.7,29.9,25,1.78,38.9,56.4,24.3,2.11,43.4,138.4,36.2,5.88,82.1,10.7,7.8,67
Azerbaijan,19.9,77.1,18.6,,1.41,44.3,91.4,19.4,1.87,83.7,156.5,51.3,4.25,98.4,13.8,12.2,59.3
Argentina,5.7,55.5,34.7,,4.45,42.4,58.1,17.1,2.16,79.2,136.8,21.7,5.88,38.8,25.8,4.6,15.9
Australia,4.6,35.9,21.4,,4.6,60.5,68.9,39.4,3.05,57.8,162.7,12.3,5.91,26.1,26.4,4.8,18.9
Bangladesh,29.5,8.1,77.7,12.7,,39.1,78.8,20.5,1.04,81.3,174.6,56.7,1.8,71.6,14.2,17.3,51.5
Armenia,21.6,83.6,12.4,,2.03,38.1,68.8,23.5,2.29,66.6,122.7,54.3,4.89,113.7,15.7,19.2,38.2
Bulgaria,15.6,92,16.1,16.7,3.34,30.9,55,23.7,2.19,47.9,122.1,22.2,5.73,74.2,7.5,17.3,43.5
Belarus,6.3,84,15,,2.17,49.3,73.9,23,2.18,58.7,103.7,54.9,5.25,95,8.5,5,53.5
Chile,11.7,16.8,45.6,,3.32,53.8,69.3,21.4,2,72.6,141.2,30.8,4.4,52.8,24.3,12,30.5
China,20.3,72.7,3.3,,1.36,51.3,89.3,50.4,2.89,,125.4,27.1,5.37,60.6,22.1,22.9,62.2
Taiwan,27.3,41.7,8.6,,2.06,60.4,73.1,36.9,2.25,72.2,80.2,27.2,3.9,53.7,15.1,17.1,49.1
Croatia,6.8,63.7,19.1,14.3,4.05,52.9,66.6,22.8,3.49,68.8,123.6,33.9,6.59,73.4,16.7,8.4,28.6
Czech Rep.,28.1,78.9,8.9,,6.86,48.9,43.9,27.2,4.41,41.3,116.5,42.5,6.76,61.7,5.1,10.5,44.1
Dominican Rep.,17.5,49.6,59.2,,3.26,66.4,70.3,25.2,1.85,74.3,163.7,23.1,5.13,50.6,12.5,18.5,11.3
Estonia,19,87.1,5,23,2.38,41.3,61.3,21.1,2.24,33.7,69.1,44.9,5.96,93.5,8.6,7.5,30.4
Finland,13.3,14.7,11.2,,4.52,40.9,78,47.9,3.11,54,136,18.4,6.52,27.7,23.5,12.2,29.2
Georgia,10.9,81.9,31,26.5,1.56,56.6,65.1,17.7,1.61,85.8,157,46.5,4.26,120.9,10.3,9.5,31.9
Germany,7.2,9.9,11.6,12.5,6.52,37.7,42.9,32.1,4.64,45.3,60.7,12.9,6.89,17.6,33.5,2.8,52.8
Hungary,24.9,33.7,17.5,,3.52,30.2,61.8,22.5,2.62,54,138.1,28.8,6.28,75.1,12.8,18.6,41.7
India,33.1,71.6,36,,1.74,20.6,81.5,32.8,1.82,72.4,157.3,37.6,3.05,54.6,10.8,36,41.9
