,Name,neighborImmigrant,childrenHardWork,childrenFaith,neighborReligion,HomosexualJustify,EnvImp,fightCountry,trust,SuicideJus,religiousPerson,NationProud,universityManImp,divorceJus,BetterLeader,childrenImagination,neighborRace,childrenThrift,Code,Continent,Longitude,Latitude,Mortality,CO2-avg,CO2-total,Life-length,Fertility,GDP,Population
0,Albania,16.5,63.6,36.3,,1.48,42.2,54.6,23.2,1.71,65.2,164.0,20.5,4.37,63.7,28.9,30.4,54.9,AL,EU,20.0,41.0,21.5,1.33296595699243,4114.0,75.9,2.0,6672.0,3124861.0
1,Algeria,23.5,66.9,76.8,32.1,1.26,29.3,,10.8,1.23,54.8,168.0,42.0,5.03,107.4,12.2,28.0,17.9,DZ,AF,3.0,28.0,35.1,2.76221963864234,89485.0,74.4,2.45,11575.0,32396048.0
2,Argentina,5.9,56.8,43.5,,4.33,41.4,55.1,15.0,1.98,80.9,152.7,18.3,5.44,35.4,23.5,4.5,14.9,AR,SA,-64.0,-34.0,17.9,4.07284380092652,156156.0,75.0,2.31,11135.0,38340778.0
3,Bangladesh,67.1,58.9,70.1,65.9,1.05,50.4,85.5,23.3,1.02,88.7,168.9,88.5,1.55,90.7,35.6,71.7,57.3,BD,AS,90.0,24.0,70.7,0.28670339663217304,39790.66667,66.8,2.7,1840.0,138633401.0
4,Bosnia Herzegovina,24.8,53.8,24.5,,1.98,40.5,61.1,15.6,1.56,72.8,99.9,22.6,5.44,41.7,26.8,13.2,37.2,,,,,,,,,,,
5,Canada,4.2,52.7,30.8,,5.44,61.5,60.1,38.4,2.82,72.1,158.0,5.6,6.06,24.3,33.0,3.4,27.1,CA,NAA,-96.0,60.0,6.1,17.2898143462518,552299.0,80.1,1.55,39436.0,31943605.0
6,Chile,10.7,25.9,40.3,,3.98,48.0,54.4,22.2,2.08,68.8,163.9,44.1,5.24,54.1,35.7,9.0,34.4,CL,SA,-71.0,-30.0,9.3,3.7218502851448703,60041.666670000006,78.0,1.96,16260.0,16132209.0
7,China,16.0,85.8,,,1.14,51.8,89.9,52.5,1.43,13.7,102.7,10.4,2.92,53.3,35.3,14.6,57.2,CN,AS,105.0,35.0,26.3,4.06572346859363,5287685.333000001,71.4,1.5,5127.0,1300552134.0
8,India,38.2,84.9,46.6,40.4,3.08,34.2,73.7,38.9,2.73,75.0,154.7,53.2,3.9,70.4,28.1,41.8,61.9,IN,AS,77.0,20.0,77.7,1.20072357504232,1348402.0,63.2,2.88,3029.0,1122991192.0
9,Indonesia,40.4,66.7,93.1,37.8,1.13,0.0,,45.7,1.06,69.5,141.1,19.2,2.49,70.3,28.9,34.8,52.2,ID,AS,120.0,-5.0,49.3,1.5030937220016398,337604.6667,66.7,2.49,6615.0,224606531.0
