Name,neighborImmigrant,childrenFaith,childrenHardWork,neighborReligion,HomosexualJustify,EnvImp,fightCountry,trust,SuicideJus,religiousPerson,NationProud,universityManImp,divorceJus,BetterLeader,childrenImagination,neighborRace,childrenThrift,Code,Continent,Longitude,Latitude,Mortality,CO2-avg,CO2-total,Life-length,Fertility,GDP,Population
Andorra,2.4,6.9,60.1,2.3,8.16,82.8,40.9,20,3.71,48,120.6,2.5,8.72,10.9,42.9,2.6,23.6,AD,EU,1.5,42.5,3.4,6.1785197844091,517,84.6,,41735,83677
Argentina,2.8,25.6,57.7,1.4,5.3,69,52.7,17.4,2.26,78.1,152.9,17.1,6.51,33.9,25.2,2.3,15.4,AR,SA,-64,-34,15,4.48356445987146,174702,75.6,2.23,14605,40062470
Australia,5.6,21,48.6,2.8,5.64,63.6,61.4,45.6,3.2,51.4,164,8.7,6.66,28,43.1,4.5,35.1,AU,OC,135,-25,5,18.0372685364855,400158,81.8,1.9,41170,21902300
Brazil,6.7,55.7,61.1,5.8,4.24,60.7,58.2,9.2,1.8,87.2,122.2,13.7,5.63,37.2,26.7,4.4,28.6,BR,SA,-55,-10,17.6,1.89971768146265,367114,73.4,1.86,13749,193246610
Bulgaria,17.6,18.2,87,15,4.08,39.4,38.5,19.6,2.49,57.1,112,14.2,6.37,57.4,17.3,20.1,42.1,BG,EU,25,43,13.3,5.67451277888982,42801,73.5,1.46,14692,7542674
Canada,4.1,30.4,54.1,2.1,5.7,68.1,53.2,41.8,2.77,65.1,161.3,5.4,5.95,20.5,33.7,2.2,26.7,CA,NAA,-96,60,5.7,15.2600988906418,513890.6667,81.1,1.67,39884,33675448
Chile,9.5,39.7,27.2,5.9,4.86,62,53.1,12.4,2.3,63.4,151.4,46.2,5.96,63.1,25.7,8.5,39.9,CL,SA,-71,-30,8.8,3.96687760215515,66726,78.5,1.87,18329,16955737
China,17.2,2.4,83.4,15.7,1.62,53.6,79.7,49.3,1.86,23,99.8,21.9,2.7,53.6,25.3,12.6,61.6,CN,AS,105,35,17,5.76182547330788,7686415,73.9,1.54,8565,1334908820
Taiwan,24.1,8.9,54.7,4.9,3.8,52.3,85.9,24.2,2.38,40.2,73.5,18.1,4.66,49.5,17.5,8.1,68.1,TW,AS,121,23.5,,10.539551957285,239092.3333,78.7,1.03,36491,22974000
Cyprus,20.7,42.2,45.6,15.4,3.88,62.4,80.5,9.7,2.17,61.5,140.1,13.7,5.85,44.9,17.6,15.6,39.9,CY,AS,33,35,4,7.46465066076831,8198.666667,80.3,1.49,34166,1090473
Ethiopia,14.7,41.3,54.5,15.4,1.51,21.7,55.9,21.4,1.46,76.7,165.6,10.7,2.86,29.7,39.1,16.6,52.5,ET,AF,39,8,80.8,0.082015656113773,7887,61.2,5.04,986,81187751
Finland,15.9,12,14.7,9.7,5.94,65,80.4,58,3.26,58.5,148.1,7.4,6.77,22.6,37.9,11.4,26.1,FI,EU,26,64,3.2,9.95273652983612,53562.66667,79.8,1.86,38455,5341546
France,36.5,8.7,62.2,25.6,6.46,52.2,52.3,18.7,3.76,46.4,112.8,8.5,6.86,24.4,25,22.6,42.9,FR,EU,2,46,4.3,5.71531184010019,363322.6667,81.2,1.98,36215,62444770
Georgia,23.9,67.3,89.5,36,1.15,49,56.5,17.6,1.11,95.1,172.5,31.4,3.73,93.6,9.7,24.3,29.1,GE,AS,43.5,42,17.9,1.38496702586486,5844.666667,72.1,1.81,5642,4373630
Germany,13.3,9.3,26,4.3,6.47,33.9,30.3,33.8,3.6,40.7,86.5,17.9,6.67,21.3,39.6,7.2,48.2,DE,EU,10.5,51.5,4.3,8.88512537988273,734532.3333,80.1,1.38,38975,82405365
Ghana,25.8,72.6,79.1,24.2,1.76,44.3,83.5,8.5,1.97,90.8,192.1,31.6,2.78,111.6,17.1,22.4,19.6,GH,AF,-2,8,77.4,0.312424770759549,7443.333333,62.4,4.12,2934,23824402
Guatemala,4,58.4,28.9,,3.12,60.4,65.4,14.9,2.17,71.6,182.6,28.7,4.7,41.9,11.2,4.6,39.4,GT,NAA,-90.25,15.5,35.7,0.843925573127718,15202,70.9,4.04,6826,14033623
Hong Kong,20.5,1.2,18.6,,3.62,36.9,50.1,40.3,2.28,27.2,59.5,24.2,4.8,38.9,2.4,26.8,1.8,HK,AS,114.17,22.25,2.95,5.29380753454219,36989.33333,82.66,1.06,45390,6987976
